,abstract,lead_paragraph,headline,keywords,sentiment
2706,"In 1997, Orantes was killed by her husband after she went on television to describe his abuse. Her story led to major legal reforms to protect women from domestic violence.","Overlooked is a series of obituaries about remarkable people whose deaths, beginning in 1851, went unreported in The Times.","Overlooked No More: Ana Orantes, Whose Gruesome Murder Brought Change to Spain","['Orantes, Ana', 'Murders, Attempted Murders and Homicides', 'Domestic Violence', 'Spain', 'Women and Girls', 'Politics and Government', 'Biographical Information']",-0.5986881030960339
2707,"In “The Secret Guests,” Benjamin Black imagines what might have happened had the princesses Elizabeth and Margaret been sent abroad during the Blitz.",THE SECRET GUESTS,It’s a Long Way to Tipperary,"['Books and Literature', 'The Secret Guests: A Novel (Book)', 'Black, Benjamin', 'Banville, John']",0.10491892398763254
2708,"Mr. Nadler, the chairman of the House Judiciary Committee, will be the constitutional expert of the team of impeachment managers.","WASHINGTON — When Representative Jerrold Nadler campaigned two years ago to be the top Democrat on the House Judiciary Committee, he billed himself as the “strongest member to lead a potential impeachment.”",Jerrold Nadler,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Impeachment', 'Democratic Party', 'House of Representatives', 'Trump, Donald J', 'Nadler, Jerrold', 'Schiff, Adam B']",0.00459376454008716
2710,An organism living in ocean muck offers clues to the origins of the complex cells of all animals and plants.,"A bizarre tentacled microbe discovered on the floor of the Pacific Ocean may help explain the origins of complex life on this planet and solve one of the deepest mysteries in biology, scientists reported on Wednesday.",Odd Clue From Deep In the Sea,"['Microbiology', 'Oceans and Seas', 'Biology and Biochemistry', 'Mitochondria', 'Bacteria', 'Evolution (Biology)', 'Nature (Journal)', 'Japan', 'Pacific Ocean', 'ARCTIC OCEAN', 'Nobu, Masaru K', 'your-feed-science']",0.18898227245102678
2712,"In Meng Jin’s debut novel, “Little Gods,” a teenage immigrant excavates her late mother’s long-buried truths.",LITTLE GODS By Meng Jin,Roots,"['Books and Literature', 'Little Gods (Book)', 'Jin, Meng (Author)']",0.005458894043991733
2713,"In “The Secret Guests,” Benjamin Black imagines what might have happened had the princesses Elizabeth and Margaret been sent abroad during the Blitz.",THE SECRET GUESTS,It’s a Long Way to Tipperary,"['Books and Literature', 'The Secret Guests: A Novel (Book)', 'Black, Benjamin', 'Banville, John']",0.10491892398763254
2717,"Quotation of the Day for Monday, January 13, 2020.","“It’s not that he physically killed Chris himself, but he was the one who put those motions into action.”",Quote of the Day,[],0.21297686214024333
2719,A wave of warm weather across the Northeast broke temperature records and left many people wondering about a “January thaw.”,"It sure didn’t feel like January in the Northeast over the past few days. At the time of year when the days are near their shortest and the weather should be near its coldest, temperatures across the region warmed to the high 60s and low 70s — 30 to 35 degrees above average. Records for daily highs were broken from Columbus, Ohio, and Pittsburgh to New York City and Bangor, Maine. Many residents took the warm spell as a belated holiday gift and went outside to cycle or jog or picnic with friends and family as if it were spring.",Pondering the Glorious Oddity  Of a Springlike January Weekend,"['Weather', 'Seasons and Months', 'Winter (Season)', 'Northeastern States (US)']",0.3289614673718261
2722,The 22-year-old singer and songwriter Sophie Allison made one of the most acclaimed albums of 2018. Then she had to figure out what comes next.,"NASHVILLE — Last spring, in a charmingly overstuffed and dingy house-turned-recording studio tucked away in an ugly industrial stretch a few miles from Music Row, the singer and songwriter Sophie Allison was gently bossing around four babyfaced dudes because, somehow, that had become her full-time job.",The Sad-Eyed Lady of Indie Rock,"['Pop and Rock Music', 'Allison, Sophie (Soccer Mommy)', 'Color Theory (Album)']",0.1569508324222471
2723,The Sacramento region is home to thousands of Muslim immigrants. The death of one of them in Iraq was the spark that brought the United States and Iran to the edge of war.,"SACRAMENTO — The body of the man whose death, 7,000 miles away in Iraq, unleashed a geopolitical crisis lies in an unmarked grave below a mound of moist earth, on plot E-233 at the Greater Sacramento Muslim Cemetery. His grieving widow remains behind closed doors. ",His Death Rattled World And Shook His U.S. City,"['United States Defense and Military Forces', 'Muslim Americans', 'Iraqi-Americans', 'Council on American-Islamic Relations', 'Sacramento (Calif)', 'SACRAMENTO VALLEY (CALIF)', 'Hamid, Nawres Waleed', 'Valiant Integrated Services', 'Iran']",-0.06486337837077263
2724,"The artist on the Oklahoma roots of his new show, that $52.5 million painting, and meeting Walt Disney.","LOS ANGELES — The artist Ed Ruscha has been based in Los Angeles since 1956, and has spent the better part of the last 60 years exploring that city’s iconography in a deadpan style that wavers between mundane and philosophical. ",Ed Ruscha Up and Went Home,"['Art', 'Ruscha, Edward', 'Oklahoma', 'Culver City (Calif)']",-0.13738458537677323
2728,Some people think Phil Hogan’s blunt style will be an advantage in dealing with the Trump White House. He is making his first official trip to Washington this week.,Europe’s new trade commissioner arrived in Washington on Monday on a mission to prevent the Trump administration from ruining the European economy.,E.U. Trade Chief Sets Out to Mend U.S. Ties,"['United States International Relations', 'International Trade and World Market', 'Embargoes and Sanctions', 'Agriculture and Farming', 'Customs (Tariff)', 'European Union', 'World Trade Organization', 'Juncker, Jean-Claude', 'Trump, Donald J', 'County Kilkenny (Ireland)', 'Europe', 'Ireland', 'United States']",0.4032653324667035
2729,"The intelligence agency alerted Microsoft to a vulnerability in Windows. Typically, it would keep quiet and exploit the flaw.","WASHINGTON — The National Security Agency has taken a significant step toward protecting the world’s computer systems, announcing Tuesday that it alerted Microsoft to a vulnerability in its Windows operating system rather than following the agency’s typical approach of keeping quiet and exploiting the flaw to develop cyberweapons. ","Seeing Digital Flaw, N.S.A. Decides to Warn, Not Snoop  ","['Software', 'Computers and the Internet', 'Windows (Operating System)', 'Cyberwarfare and Defense', 'Computer Security', 'Espionage and Intelligence Services', 'Cyberattacks and Hackers', 'National Security Agency', 'Microsoft Corp', 'Shadow Brokers', 'North Korea', 'Russia']",-0.07214484147615632
2730,"“Once again, the federal government hasn’t showed up the way they should,” the New York governor said.","GUÁNICA, P.R. — Gov. Andrew M. Cuomo of New York criticized the Trump administration’s response to a series of powerful earthquakes that has shaken Puerto Rico for weeks, toppling homes and knocking out power to parts of the island, which has still not fully recovered from Hurricane Maria.","Cuomo, Visiting Puerto Rico, Castigates Federal Earthquake Response","['Earthquakes', 'Puerto Rico', 'Humanitarian Aid', 'Hurricane Maria (2017)', 'United States Politics and Government', 'Power Failures and Blackouts', 'Cuomo, Andrew M', 'Trump, Donald J', 'New York State']",-0.24384252535273182
2732,"Hotville, from the same family that invented the dish, proves that hot chicken is an essential part of the American canon.","LOS ANGELES — At the bar, a man insisted on Hotville’s hottest level of hot chicken (“Nashville hot”), though he hadn’t tasted medium or even mild before. The cooks had seen this a hundred times, and when the chicken came out — a large, gleaming quarter of a bird — a teasing call came from the kitchen: “Hot enough for you?”","In Los Angeles, Chicken With a Twang","['Restaurants', 'Nashville (Tenn)', 'Poultry', 'Hotville (Los Angeles, Calif, Restaurant)', 'Los Angeles (Calif)']",0.4417624378848308
2733,"As interest in Dry January and sobriety rises, and as social media opens up new conversations, the bar business has begun to evolve.","When Jade Golden, a bartender at 169 Bar in Manhattan’s Chinatown, was in Alcoholics Anonymous, her sponsor strongly recommended that she stay out of the bar business.","Bartenders Are ‘Sober Curious,’ Too","['Bartenders', 'Bars and Nightclubs', 'ALCOHOLIC BEVERAGES', 'Cocktails and Mixed Drinks', 'Beverages', 'ALCOHOL ABUSE']",0.42511282121937755
2734,"Kettl, a Brooklyn importer of Japanese tea, has opened a new shop in NoHo.","Kettl, a Japanese green tea specialist that imports directly from farms in Japan, has been tucked away in Williamsburg, Brooklyn, since 2016. Now, the owners, Zach Mangan and his wife, Minami Mangan, have opened a Manhattan branch with a some new features, notably precisely brewed teas to stay or to go, which they do not offer at the Brooklyn shop. In NoHo, they’re serving tea-based ice cream made for Kettl by Il Laboratorio del Gelato. Tea utensils, some fashioned by Ms. Mangan, a potter, are available, though the selection is smaller than what they sell in Brooklyn and online. Mr. Mangan, a tea lover, started working for the Ito-En company in New York, then went to Japan and eventually started his own business.",To Brew: A New Outpost For Green Tea,"['Tea', 'Shopping and Retail', 'Kettl Tea Inc']",0.364705387458721
